name,id,type1,type2,hp,attack,defense,special_attack,special_defense,speed
venonat,48,bug,poison,60,55,50,40,55,45
venomoth,49,bug,poison,70,65,60,90,75,90
diglett,50,ground,,10,55,25,35,45,95
dugtrio,51,ground,,35,100,50,50,70,120
meowth,52,normal,,40,45,35,40,40,90
persian,53,normal,,65,70,60,65,65,115
psyduck,54,water,,50,52,48,65,50,55
golduck,55,water,,80,82,78,95,80,85
mankey,56,fighting,,40,80,35,35,45,70
primeape,57,fighting,,65,105,60,60,70,95
growlithe,58,fire,,55,70,45,70,50,60
arcanine,59,fire,,90,110,80,100,80,95
poliwag,60,water,,40,50,40,40,40,90
poliwhirl,61,water,,65,65,65,50,50,90
poliwrath,62,water,fighting,90,95,95,70,90,70
abra,63,psychic,,25,20,15,105,55,90
kadabra,64,psychic,,40,35,30,120,70,105
alakazam,65,psychic,,55,50,45,135,95,120
machop,66,fighting,,70,80,50,35,35,35
machoke,67,fighting,,80,100,70,50,60,45
machamp,68,fighting,,90,130,80,65,85,55
bellsprout,69,grass,poison,50,75,35,70,30,40
weepinbell,70,grass,poison,65,90,50,85,45,55
victreebel,71,grass,poison,80,105,65,100,70,70
tentacool,72,water,poison,40,40,35,50,100,70
tentacruel,73,water,poison,80,70,65,80,120,100
geodude,74,rock,ground,40,80,100,30,30,20
graveler,75,rock,ground,55,95,115,45,45,35
golem,76,rock,ground,80,120,130,55,65,45
ponyta,77,fire,,50,85,55,65,65,90
rapidash,78,fire,,65,100,70,80,80,105
slowpoke,79,water,psychic,90,65,65,40,40,15
slowbro,80,water,psychic,95,75,110,100,80,30
magnemite,81,electric,steel,25,35,70,95,55,45
magneton,82,electric,steel,50,60,95,120,70,70
farfetchd,83,normal,flying,52,90,55,58,62,60
doduo,84,normal,flying,35,85,45,35,35,75
dodrio,85,normal,flying,60,110,70,60,60,110
seel,86,water,,65,45,55,45,70,45
dewgong,87,water,ice,90,70,80,70,95,70
grimer,88,poison,,80,80,50,40,50,25
muk,89,poison,,105,105,75,65,100,50
shellder,90,water,,30,65,100,45,25,40
cloyster,91,water,ice,50,95,180,85,45,70
gastly,92,ghost,poison,30,35,30,100,35,80
haunter,93,ghost,poison,45,50,45,115,55,95
gengar,94,ghost,poison,60,65,60,130,75,110
onix,95,rock,ground,35,45,160,30,45,70
drowzee,96,psychic,,60,48,45,43,90,42
hypno,97,psychic,,85,73,70,73,115,67
krabby,98,water,,30,105,90,25,25,50
kingler,99,water,,55,130,115,50,50,75
voltorb,100,electric,,40,30,50,55,55,100
electrode,101,electric,,60,50,70,80,80,150
exeggcute,102,grass,psychic,60,40,80,60,45,40
exeggutor,103,grass,psychic,95,95,85,125,75,55
cubone,104,ground,,50,50,95,40,50,35
marowak,105,ground,,60,80,110,50,80,45
hitmonlee,106,fighting,,50,120,53,35,110,87
hitmonchan,107,fighting,,50,105,79,35,110,76
lickitung,108,normal,,90,55,75,60,75,30
koffing,109,poison,,40,65,95,60,45,35
weezing,110,poison,,65,90,120,85,70,60
rhyhorn,111,ground,rock,80,85,95,30,30,25
rhydon,112,ground,rock,105,130,120,45,45,40
chansey,113,normal,,250,5,5,35,105,50
tangela,114,grass,,65,55,115,100,40,60
kangaskhan,115,normal,,105,95,80,40,80,90
horsea,116,water,,30,40,70,70,25,60
seadra,117,water,,55,65,95,95,45,85
goldeen,118,water,,45,67,60,35,50,63
seaking,119,water,,80,92,65,65,80,68
staryu,120,water,,30,45,55,70,55,85
starmie,121,water,psychic,60,75,85,100,85,115
mr-mime,122,psychic,fairy,40,45,65,100,120,90
scyther,123,bug,flying,70,110,80,55,80,105
jynx,124,ice,psychic,65,50,35,115,95,95
electabuzz,125,electric,,65,83,57,95,85,105
magmar,126,fire,,65,95,57,100,85,93
pinsir,127,bug,,65,125,100,55,70,85
tauros,128,normal,,75,100,95,40,70,110
magikarp,129,water,,20,10,55,15,20,80
gyarados,130,water,flying,95,125,79,60,100,81
lapras,131,water,ice,130,85,80,85,95,60
ditto,132,normal,,48,48,48,48,48,48
eevee,133,normal,,55,55,50,45,65,55
vaporeon,134,water,,130,65,60,110,95,65
jolteon,135,electric,,65,65,60,110,95,130
flareon,136,fire,,65,130,60,95,110,65
porygon,137,normal,,65,60,70,85,75,40
omanyte,138,rock,water,35,40,100,90,55,35
omastar,139,rock,water,70,60,125,115,70,55
kabuto,140,rock,water,30,80,90,55,45,55
kabutops,141,rock,water,60,115,105,65,70,80
aerodactyl,142,rock,flying,80,105,65,60,75,130
snorlax,143,normal,,160,110,65,65,110,30
articuno,144,ice,flying,90,85,100,95,125,85
zapdos,145,electric,flying,90,90,85,125,90,100
moltres,146,fire,flying,90,100,90,125,85,90
dratini,147,dragon,,41,64,45,50,50,50
dragonair,148,dragon,,61,84,65,70,70,70
dragonite,149,dragon,flying,91,134,95,100,100,80
mewtwo,150,psychic,,106,110,90,154,90,130
mew,151,psychic,,100,100,100,100,100,100
